"","MCS.F.1","MCS.F.2","MCS.F.3","MCS.F.4","MCS.M.1","MCS.M.2","MCS.M.3","PR.F.1","PR.F.2","PR.F.4","PR.M.1","PR.M.2","PR.M.3"
"ENSMUSG00000018736_Ndel1",5.44039219476832,5.31261580741217,5.37496592100398,5.12557821354251,5.35580807264985,5.24669066293558,5.00726764475637,5.27282021742357,5.15937988559109,5.19038438332132,5.0679621664979,5.20319984868371,5.13424755597239
"ENSMUSG00000046490_Rnf222",-1.93118600895873,-1.98137694564657,-2.27282324531312,-1.70209726511404,-1.36127027412122,-1.6519899906941,-1.54776386955749,-1.48770996581311,-1.98468939168752,-1.68035340499595,-2.11011094901232,-1.42240901699186,-1.26165213780613
"ENSMUSG00000060938_Rpl26",2.1932086122939,1.90983722018183,1.86079998261406,2.12881404658356,1.97652853106603,1.98903232947735,1.98099650609697,1.99246078449267,2.07044203667805,2.09097173666119,1.60783227090816,1.98312063495496,1.91714614554955
"ENSMUSG00000052921_Arhgef15",1.34285119841835,1.69609889833616,1.62704083587347,1.21857670877256,1.20976563828462,-0.109693098870618,0.24287732525064,0.664576549594632,1.4560672014504,1.08059123268607,0.456253137115018,1.30608542010021,1.02688543508629
"ENSMUSG00000018740_Slc25a35",1.87722399537502,1.706533027455,1.80337546948318,2.51157287712456,2.018398812985,2.2034998864121,2.56088588335954,1.8357798362993,2.31036842625657,1.59280423382613,2.40907776501352,2.52197169562083,2.24644833477179
"ENSMUSG00000032892_Rangrf",1.20094806270556,0.584756979776509,0.720590401439393,0.562391358568618,0.724590903559047,0.61858584377952,0.447453552234012,0.545079165062488,0.603350142466398,0.533893152454499,0.381684491264048,0.330138815096659,0.490784787609811
"ENSMUSG00000020899_Pfas",6.17680520962468,6.10460616699853,6.15457046988827,5.76317906125091,5.7730295260966,5.73960534058932,5.75584053089966,6.16147493776506,5.76493946380961,6.13694111003595,5.80034106596288,5.66509660752746,5.56239642158954
"ENSMUSG00000020898_Ctc1",3.00944854806412,3.11265706209265,3.16900230478312,3.28422934407886,2.99218942074068,3.04569792603467,3.17881242938868,3.24667605988567,2.97307963380121,3.15279884944137,3.38445029187199,3.1898466108873,2.97593538841969
"ENSMUSG00000072809_9330160F10Rik",-0.0115462920594688,-0.133216105220703,-0.127242949428918,-0.675167033994232,-0.608705979246074,-0.394396303469893,0.0470027557847232,-0.216604865734248,-0.437941867941013,-0.357050307790949,0.0853850463059826,-0.18210667523955,0.0142865383773464
"ENSMUSG00000045176_Borcs6",-0.615773854044692,-0.514325333697168,-1.25318494492061,-0.803125451782876,-0.920552957104218,-1.13126411037581,-0.638213963738883,-0.959931580277626,-0.66054517140422,-0.825180209000486,-0.881953096287687,-0.805915345582612,-1.40529724136938
"ENSMUSG00000020895_Tmem107",-1.10196083068319,-1.17982587491766,-0.833279357025034,-1.0192403302131,-1.16105941981264,-1.22144614782935,-1.21029503500182,-1.36557867777947,-0.319197490666557,-0.651705129818874,-2.11011094901232,-1.51050774970625,-1.74425074633417
"ENSMUSG00000064899_Snord118",2.36939672854007,-0.614665976705171,1.01849570601728,1.37458739268627,2.22204775657457,2.17726878941594,1.39264556304048,1.12671855330381,1.5422435791341,1.10498106022056,2.54768756438261,1.95049402804199,1.96904630624218
"ENSMUSG00000020894_Vamp2",4.70847377579745,4.17828575533465,4.51923530335704,4.17901297958989,4.29645953994526,3.9852362194155,4.00238505355924,4.02643717163495,4.07603607959249,4.14942315076935,4.10421733924048,3.82642646653229,3.79241922580108
"ENSMUSG00000020893_Per1",6.90774037455849,5.27016187336115,4.88830998052288,4.94816039693535,6.30393580992877,5.13073183676537,3.67936351226073,5.05225250396782,5.3940194824067,4.91494575647523,5.11043176541756,4.5621499695681,4.42653565469112
"ENSMUSG00000020892_Aloxe3",-2.02772744929506,-3.94139088297498,-2.27282324531312,-1.09912553822839,-1.81127441961219,-1.6519899906941,-1.11332646259015,-2.57712732141902,-1.04432318438927,-2.17226955555747,-1.81876737595448,-2.05599931149576,-2.18811817247798
"ENSMUSG00000032782_Cntrob",3.47126986891666,3.38691441581388,3.45349884555657,3.41579410153533,3.09946671618995,3.13017172557125,3.0848678081841,3.36608149241214,3.16185586455207,3.30529732529298,3.28821951180553,3.16872749264338,2.93177946867328
"ENSMUSG00000049299_Trappc1",1.5069193349804,0.907736555258328,1.23665253393638,1.43255557422789,1.23839329735784,1.41659613226957,0.929392409731486,0.949803810975881,1.21499720740266,1.09283768685049,1.43422855713101,1.30608542010021,1.23500788301658
"ENSMUSG00000018470_Kcnab3",-1.59901052294261,-1.03373507422369,-1.73019181837612,-1.09912553822839,-1.81127441961219,-1.78320112236612,-1.98908050280377,-1.62114452289091,-1.76176901259416,-1.5993083552353,-0.143262356017357,-1.26087400283546,-2.06370868986021
"ENSMUSG00000086900_Kcnab3os",-0.439398539197184,-0.0964739730626734,-0.0196895041075334,-0.122485511322351,-0.0458996639255005,-0.342871149711332,0.478897319164788,-0.270403440225763,-0.281692907726967,-0.534047583284535,-0.0117929556905663,0.0816451610726341,-0.409211768425912
"ENSMUSG00000018474_Chd3",2.92169098094958,2.73347942523145,3.17278632696855,3.25641283751707,2.62305282335154,2.8982537218281,3.05388351268253,3.06854021915568,2.87685611554161,3.1439984280664,3.36280607148801,3.02335973833863,2.80288296762557
"ENSMUSG00000044795_Cyb5d1",1.86383147140946,2.11957422499533,1.69176593660146,1.97150629973131,1.8100974084215,1.7956729888675,1.75564276088684,1.94603791204045,2.37049710412474,2.15661276372892,2.02408361484892,2.13602595063649,2.20376257232355
"ENSMUSG00000059278_Naa38",-0.542616574011211,-1.73558497773893,-1.73019181837612,-0.50228058085374,-1.31894357383107,-1.6519899906941,-2.17232678467286,-1.93194177383677,-1.76176901259416,-1.19030915303428,-1.90949825378127,-1.04813026682785,-1.40529724136938
"ENSMUSG00000045377_Tmem88",-0.615773854044692,-0.420511949279697,-0.773802599653915,-0.615206521890211,-0.608705979246074,-1.31764351639854,-0.281406091175937,-0.71647357567031,0.0180802335605377,-0.291914858156424,-0.554578522092907,-0.334588253950967,-0.569215356356205
"ENSMUSG00000018476_Kdm6b",5.30263204055227,5.02334965936621,5.3467705401116,5.43569209042059,5.17741642138371,5.11123570447785,5.33930038180674,4.89159763094514,5.09668084244026,5.34940072798122,5.38432009446849,5.10099601211728,4.77262897480889
